playlist,artist,track,trackid
Hot Country,Jimmie Allen,Make Me Want To,2uJwGoHVPStmWV7iTKEhcn
Hot Country,Thomas Rhett,Look What God Gave Her,1HY7Ze0NWqDJkl4g4MV62Q
Hot Country,Dierks Bentley,Living,54K7AZoGpQklpygKrxZlKN
Hot Country,Lee Brice,Rumor,56eGOeSsqdg3FLxdo83TwV
Hot Country,Cody Johnson,On My Way to You,3OjNkFFZavF89xvRqWCXmU
Hot Country,Florida Georgia Line,Talk You Out Of It,4kKgn11J60MHCrfS4AfbIm
Hot Country,Maren Morris,The Bones,7g9YrTuImvIkpS9uveKdCO
Hot Country,Chris Lane,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV
Hot Country,Chase Rice,Eyes On You,5AnSllIrgGsCZzZJkVnApx
Hot Country,Dylan Scott,Nobody,2SHbF9xWleu30pAHfOZaEn
Hot Country,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde
Hot Country,Luke Bryan,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb
Hot Country,Florida Georgia Line,Can’t Hide Red,2h8szyWmfavIbiWm0KWpB0
Hot Country,Ryan Hurd,To a T,1oRRLczVT5KkZkPHXG70n7
Hot Country,John Gurney,Home With Her,2cxU72H3CkiHJKiJhOj1Rm
Hot Country,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00
Hot Country,Carly Pearce,Closer To You,7xELq8WliIctkuvWXONX6d
Hot Country,Kelsea Ballerini,Miss Me More,6HdZquZOX4YcDlAP7GKD2A
Hot Country,Old Dominion,One Man Band,3ksmU0DaEUMEVzx5V6cc3z
Hot Country,Kane Brown,Good as You,0y4CZzUZKjays43Cw0AtRs
Hot Country,Tim McGraw,Thought About You,7kCXmYJeltdnCMMsfwaCsf
Hot Country,Dan + Shay,All To Myself,0uSGTaHms9ceAxb7L6VLrU
Hot Country,Adam Doleac,Famous,6HBhMdKR4HRfQ3fuGUFbzE
Hot Country,Keith Urban,We Were,6JOeNbZ3X6dtXusG3hkHn8
Hot Country,Rodney Atkins,Caught Up In The Country,2BgunkkepMPFpArQj1Dx5s
Hot Country,Thomas Rhett,That Old Truck,76jICtPC51cXmetYVnOqHu
Hot Country,Eric Church,Some Of It,3d1qN7AHge6BXuVPutcpI5
Hot Country,John Gurney,That's How You Got It,0QFvybNsiwupz72jpQWxKn
Hot Country,Dustin Lynch,Ridin' Roads,5OBtr92M0xsvOGqpnz3LzW
Hot Country,Jason Aldean,Rearview Town,3yHTTHbT058Ow0favhZO38
Hot Country,Mitchell Tenpenny,All On You,6wmX0tZ4Dkzg32z1k9x4Y5
Hot Country,Brad Paisley,My Miracle,3yNuWBImT0geeISSCMbE3p
Hot Country,Zac Brown Band,Someone I Used To Know,1SVqPKwkGssw1ao0Jqmx2b
Hot Country,Jordan Davis,Take It From Me,7JK0nPw98vJmgEElMUfg5v
Hot Country,John King,Try Saying Goodbye,6p3tET0bTKLDv4iF0hl0p2
Hot Country,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA
Hot Country,Blake Shelton,God's Country,1dyxS3YzBbL0t8rEVwVQ1K
Hot Country,Maren Morris,GIRL,0u3zalSKQIUJ0foEGILmxe
Hot Country,Brett Eldredge,Love Someone,43CFDpciGFDm226POTLEXU
Hot Country,Filmore,Love That About You,6eKhWSDPM9cDicwsBCvUwB
Hot Country,Brett Young,Here Tonight,7ELW8QMNYkoxWskwXMD3WW
Hot Country,James Barker Band,Keep It Simple,6SzCgkimMZ97h2GluSWSzd
Hot Country,Luke Combs,Beer Never Broke My Heart,5eDvChP4WAPPrtaQeI9MhT
Hot Country,Cody Purvis,Drinkin' Terms,0leBYsvyyFSXc1aeuFVgTD
Hot Country,Dylan Scott,Nothing To Do Town,3L5cSHbf7oBWubuCwJbUGt
Hot Country,Scotty McCreery,In Between,4bZsLI9lZgSu3MN99kDbic
Hot Country,Granger Smith,Stutter,3ZvunC3FkxtVWhmiBGmlGM
Hot Country,Jon Pardi,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I
Hot Country,Mitchell Tenpenny,Alcohol You Later,16HAr3eu7TCbeJ0IOJLQxY
Hot Country,Old Dominion,Make It Sweet,6Q6pcWl4SZmI5G21PIhKUG
Hot Country,Eli Young Band,Love Ain't,6lUNNXp7M8boA7gUEd6PSm
Hot Country,Chris Janson,Good Vibes,49oBFP6ZHPtd6t33LFTD3E
